Type,ID,English Title,Korean Title,Filename,Converted Title
"Unmatched File","","","","Miss_You__Lucifer.png","Miss You... Lucifer"
"Unmatched File","","","","Mokrin.png","Mokrin"
"Unmatched File","","","","My_Father_is_a_Tyrant.png","My Father is a Tyrant"
"Unmatched File","","","","My_Husband_.png","My Husband"
"Unmatched File","","","","My_Miraculous_Bookstore.png","My Miraculous Bookstore"
"Unmatched File","","","","My_Second_Life_as_an_Idol.png","My Second Life as an Idol"
"Unmatched File","","","","My_Super-Granny.png","My Super-Granny"
"Unmatched File","","","","My_Sweet_Enemy__Thy_Name_is_Husband.png","My Sweet Enemy... Thy Name is Husband"
"Unmatched File","","","","Nowhere_But_Iceland.png","Nowhere But Iceland"
"Unmatched File","","","","Observing_Elena_Evoy.png","Observing Elena Evoy"
"Unmatched File","","","","Paljae__Child_of_Winter.png","Paljae... Child of Winter"
"Unmatched File","","","","Restoring_Art_and_Love.png","Restoring Art and Love"
"Unmatched File","","","","Reunion.png","Reunion"
"Unmatched File","","","","Sangyang_The_Wanderer.png","Sangyang The Wanderer"
"Unmatched File","","","","Science_Tikitaka.png","Science Tikitaka"
"Unmatched File","","","","Season_of_Change.png","Season of Change"
"Unmatched File","","","","Shall_We_Bathe_.png","Shall We Bathe"
"Unmatched File","","","","Shall_We_Pole_Dance.png","Shall We Pole Dance"
"Unmatched File","","","","Shoot_for_the_Stars.png","Shoot for the Stars"
"Unmatched File","","","","Sora_s_Eyes.png","Sora s Eyes"
"Unmatched File","","","","Stand_Up__Now_.png","Stand Up... Now"
"Unmatched File","","","","Stigmata.png","Stigmata"
"Unmatched File","","","","Stone_House_on_Jeju_Island.png","Stone House on Jeju Island"
"Unmatched File","","","","Tendering_Resignation.png","Tendering Resignation"
"Unmatched File","","","","Terrarium_Adventure.png","Terrarium Adventure"
"Unmatched File","","","","The_Accidental_Heiress.png","The Accidental Heiress"
"Unmatched File","","","","The_Blood_Moon.png","The Blood Moon"
"Unmatched File","","","","The_Demon_Queen.png","The Demon Queen"
"Unmatched File","","","","The_Deviless__Impression_of_a_Princess.png","The Deviless... Impression of a Princess"
"Unmatched File","","","","The_Fantastical_After-School_Writing_Club.png","The Fantastical After-School Writing Club"
"Unmatched File","","","","The_Forgotten_Princess_Just_Wants_Peace.png","The Forgotten Princess Just Wants Peace"
"Unmatched File","","","","The_Golden_Light_of_Dawn.png","The Golden Light of Dawn"
"Unmatched File","","","","The_Noble_Pirate.png","The Noble Pirate"
"Unmatched File","","","","The_Quant_of_Wall_Street.png","The Quant of Wall Street"
"Unmatched File","","","","The_Script.png","The Script"
"Unmatched File","","","","The_Secret_of_Umbra.png","The Secret of Umbra"
"Unmatched File","","","","The_Superheroes_of_Class_F.png","The Superheroes of Class F"
"Unmatched File","","","","The_Year_of_No_Shopping.png","The Year of No Shopping"
"Unmatched File","","","","Tori_and_Samuel.png","Tori and Samuel"
"Unmatched File","","","","Traces_of_the_Sun.png","Traces of the Sun"
"Unmatched File","","","","Trophy_Husband.png","Trophy Husband"
"Unmatched File","","","","Under_the_Oak_Tree.png","Under the Oak Tree"
"Unmatched File","","","","Werewolves_Going.png","Werewolves Going"
"Unmatched File","","","","Wish_Upon_a_Husband.png","Wish Upon a Husband"
"Unmatched File","","","","Women_s_Soccer.png","Women s Soccer"
"Unmatched File","","","","Your_Eternal_Lies.png","Your Eternal Lies"
"Unmatched File","","","","Zodiac_Hunters.png","Zodiac Hunters"
"Title Without Image","d9ca7295-628e-4bb2-ab9c-b4f87461405a","Even If...","","",""
